,City,Max Temp,Lon,Lat,cloudiness,Wind Speed ,Humidity,Country,Date
325,riwaka,14.44,173.0,-41.08,100,0.79,80,NZ,1567657712
326,the pas,11.0,-101.24,53.82,90,1.0,93,CA,1567657712
327,nagymaros,13.89,18.96,47.79,0,2.1,100,HU,1567657712
328,seda,15.0,22.09,56.17,0,4.6,82,LT,1567657713
329,sosua,28.0,-70.52,19.77,40,8.93,88,DO,1567657713
330,sijunjung,26.96,100.95,-0.69,49,1.28,62,ID,1567657713
331,ajdabiya,26.0,20.22,30.75,0,4.36,79,LY,1567657713
332,yarke pole,17.39,34.32,45.61,100,3.35,83,UA,1567657713
333,bundaberg,32.0,152.35,-24.87,0,6.2,15,AU,1567657610
334,poum,12.0,20.71,41.28,0,2.1,76,MK,1567657501
335,daru,25.45,143.21,-9.07,100,4.51,66,PG,1567657714
336,ust-kuyga,8.93,135.55,70.0,99,1.63,76,RU,1567657714
337,hobyo,24.69,48.53,5.35,100,8.47,78,SO,1567657118
338,honningsvag,9.0,25.97,70.98,0,3.1,81,NO,1567657163
339,beringovskiy,7.46,179.32,63.05,100,1.16,90,RU,1567657125
340,bol,27.43,14.72,13.47,100,5.15,78,TD,1567657715
341,port hawkesbury,20.56,-61.36,45.62,90,3.6,94,CA,1567657715
342,edd,29.7,41.69,13.93,84,1.85,50,ER,1567657716
343,oliveira,20.82,-44.83,-20.7,59,4.49,63,BR,1567657716
344,muroto,26.0,134.14,33.37,75,3.1,88,JP,1567657716
345,khani,19.0,42.96,41.96,40,0.5,93,GE,1567657716
346,el jicaro,18.21,-89.89,14.91,100,1.55,93,GT,1567657716
347,villa guerrero,17.08,-103.59,21.98,98,1.98,88,MX,1567657717
348,richards bay,20.82,32.06,-28.77,42,5.77,74,ZA,1567657717
349,paita,16.43,-81.11,-5.09,0,4.63,93,PE,1567657655
350,hohhot,25.0,111.65,40.81,0,2.0,31,CN,1567657717
351,araouane,33.99,-3.53,18.9,28,5.63,26,ML,1567657718
352,yarensk,9.17,49.09,62.17,0,2.1,95,RU,1567657718
353,uray,9.46,64.8,60.13,5,1.6,92,RU,1567657718
354,alofi,22.0,-169.92,-19.06,100,10.59,100,NU,1567656909
355,walvis bay,13.0,14.51,-22.95,90,2.1,82,NA,1567657719
356,pishin,24.85,67.0,30.58,0,0.99,39,PK,1567657719
357,tapiramuta,15.84,-40.79,-11.85,0,1.89,97,BR,1567657719
358,yumen,29.11,97.04,40.29,0,7.07,19,CN,1567657719
359,sotuta,25.38,-89.01,20.6,36,2.76,90,MX,1567657721
360,les cayes,29.18,-73.75,18.19,1,6.83,75,HT,1567657721
361,narsaq,5.0,-46.05,60.91,0,1.0,57,GL,1567657515
362,kaitangata,9.44,169.85,-46.28,94,4.02,67,NZ,1567657721
363,ballina,11.67,-9.15,54.11,60,4.47,83,IE,1567657722
364,adrar,25.0,-0.29,27.87,0,4.6,41,DZ,1567657722
365,aromashevo,9.43,68.64,56.86,1,1.48,86,RU,1567657722
366,lerwick,9.0,-1.15,60.15,100,9.3,70,GB,1567657166
367,pochutla,29.0,-96.47,15.74,5,2.01,70,MX,1567657137
368,minsk,7.0,27.56,53.9,0,1.78,100,BY,1567657722
369,linxia,20.17,103.21,35.6,0,3.03,50,CN,1567657723
370,general roca,6.0,-67.58,-39.03,0,7.2,41,AR,1567657723
371,flinders,22.22,150.85,-34.58,40,4.6,59,AU,1567657221
372,aykhal,4.0,111.51,65.95,90,3.0,100,RU,1567657723
373,shubarshi,11.83,57.19,48.59,0,3.25,69,KZ,1567657725
374,san vicente de canete,14.88,-76.38,-13.08,79,3.02,90,PE,1567657725
